timestamp, power.draw [W]
2026/09/01 22:53:58.911, 48.79 W
2026/09/01 22:53:59.911, 48.49 W
2026/09/01 22:54:00.911, 47.33 W
2026/09/01 22:54:01.911, 48.97 W
2026/09/01 22:54:02.912, 47.17 W
2026/09/01 22:54:03.912, 49.05 W
2026/09/01 22:54:04.913, 47.00 W
2026/09/01 22:54:05.913, 49.24 W
2026/09/01 22:54:06.913, 47.56 W
2026/09/01 22:54:07.913, 48.28 W
2026/09/01 22:54:08.913, 48.82 W
2026/09/01 22:54:09.914, 47.18 W
2026/09/01 22:54:10.914, 49.24 W
2026/09/01 22:54:11.914, 46.91 W
2026/09/01 22:54:12.914, 49.16 W
2026/09/01 22:54:13.915, 47.18 W
2026/09/01 22:54:14.915, 49.23 W
2026/09/01 22:54:15.915, 47.99 W
2026/09/01 22:54:16.916, 48.36 W
2026/09/01 22:54:17.916, 49.01 W
2026/09/01 22:54:18.917, 46.98 W
2026/09/01 22:54:19.917, 48.99 W
2026/09/01 22:54:20.917, 47.00 W
2026/09/01 22:54:21.918, 49.27 W
2026/09/01 22:54:22.918, 46.93 W
2026/09/01 22:54:23.919, 49.15 W
2026/09/01 22:54:24.919, 48.07 W
2026/09/01 22:54:25.919, 47.78 W
2026/09/01 22:54:26.920, 49.00 W
2026/09/01 22:54:27.920, 47.00 W
2026/09/01 22:54:28.921, 48.94 W
2026/09/01 22:54:29.921, 46.83 W
2026/09/01 22:54:30.921, 49.17 W
2026/09/01 22:54:31.922, 47.23 W
2026/09/01 22:54:32.922, 48.78 W
2026/09/01 22:54:33.923, 48.40 W
2026/09/01 22:54:34.923, 47.13 W
2026/09/01 22:54:35.923, 49.20 W
2026/09/01 22:54:36.924, 46.95 W
2026/09/01 22:54:37.924, 49.15 W
2026/09/01 22:54:38.924, 47.08 W
2026/09/01 22:54:39.925, 49.10 W
2026/09/01 22:54:40.925, 47.38 W
2026/09/01 22:54:41.925, 48.09 W
2026/09/01 22:54:42.925, 48.70 W
2026/09/01 22:54:43.925, 47.04 W
2026/09/01 22:54:44.926, 49.18 W
2026/09/01 22:54:45.926, 46.95 W
2026/09/01 22:54:46.941, 49.23 W
2026/09/01 22:54:47.941, 47.13 W
2026/09/01 22:54:48.942, 49.18 W
2026/09/01 22:54:49.942, 47.89 W
2026/09/01 22:54:50.942, 48.12 W
2026/09/01 22:54:51.942, 49.10 W
2026/09/01 22:54:52.942, 47.00 W
2026/09/01 22:54:53.943, 49.17 W
2026/09/01 22:54:54.943, 47.13 W
2026/09/01 22:54:55.943, 49.20 W
2026/09/01 22:54:56.944, 47.15 W
2026/09/01 22:54:57.944, 49.10 W
2026/09/01 22:54:58.945, 47.99 W
2026/09/01 22:54:59.945, 47.63 W
2026/09/01 22:55:00.945, 48.88 W
2026/09/01 22:55:01.945, 47.10 W
2026/09/01 22:55:02.945, 49.12 W
2026/09/01 22:55:03.946, 46.87 W
2026/09/01 22:55:04.946, 49.11 W
2026/09/01 22:55:05.946, 46.98 W
2026/09/01 22:55:06.947, 49.10 W
2026/09/01 22:55:07.947, 47.87 W
2026/09/01 22:55:08.948, 47.65 W
2026/09/01 22:55:09.948, 48.97 W
2026/09/01 22:55:10.948, 46.99 W
2026/09/01 22:55:11.949, 48.93 W
2026/09/01 22:55:12.949, 46.64 W
2026/09/01 22:55:13.949, 49.16 W
2026/09/01 22:55:14.950, 47.16 W
2026/09/01 22:55:15.950, 48.49 W
